,#,First coordinate,Place,Status,Busy-ness,Notes,Description,,Plug availablity,Bookable?,Private?,Microwave?,Projector/TV?,,Bonus: Free drinks,Bonus: Good view,Bonus: Couches
"Cells in this row are description for the Gemini Agent.
Cell contains an explanation, for you, of what the column of the cell represents.
In each column, the first row is the name, the second row is the description of the column for the Gemini Agent, and the rest is data. Row n (n > 2) is data for the study spot in the same row.",Technical. No need to display.,"Coordinates, as shown by google maps",The name of the spot.,"Show as a subjective rating. Color code it so really good is #0a53a8, pretty good is #bfe1f6, OK is #bba897, not great is #000000, not visited is #ffae00.","How busy the spot usually is. Color code it so usually isolated is #5a3286, there's some people here is #d4edbc, very popular is #b10202.",Show this as text at the very bottom of a study spot's page.,"This is the description of the study spot for the user. It should come first on the page of the study spot, before any bullet points.","Items to the right of this column are yes/y or no/n. The description contains the name of the associated icon, like plug.png, to be displayed next to a bullet point on the study spot's site. If yes, show the icon with a green tint. If no, show the icon with a red tint and a red line across it. If empty, do not show the bullet point at all.",plug.png,schedule.png,private.png,microwave.png,tv.png,"Items to the right of this column are bonuses. If these are yes/y, show them and the associated icon at the bottom of the bullet-point list with no tint. If they are no or empty, do not show the bullet point.",drinks.png,view.png,couch.png
,1,"49.2675321,-123.2526827","Art, Arch, & Music Library (IKB)",Pretty Good,There's some people here,,,,y,y,yes,no,n,,y,n,
,2,"49.265929,-123.2517095",Phys Drop In Centre (HEBB),Really Good!,There's some people here,"Clean, fantastic vibes",,,,,,,,,,,
,3,"49.265929,-123.2517095",HEBB (Upper Floor rooms),Pretty Good,Usually isolated,Often closed,,,,,,,,,,,
,4,"49.2675321,-123.2526827",IKB,Not great,Very popular,,,,,,,,,,,,
,5,"49.2675321,-123.2526827",Ridington Room (IKB),Really Good!,There's some people here,AKA Harry Potter Room.,,,,,,,,,,,
,6,"49.2639988,-123.2559045",Education Classrooms,Really Good!,Very popular,Usually packed during peak hours,,,,,,,,,,,
,7,"49.266612,-123.2500257",Nest (Upper Floors),Not great,Very popular,,,,,,,,,,,,
,8,"49.2676248,-123.2501682",LIFE,Okay...,Very popular,,,,,,,,,,,,
,9,"49.2683012,-123.2550739",Buchanan (Upper Floor),Pretty Good,There's some people here,Good if you need empty classrooms,,,,,,,,,,,
